# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,MDGIJXXVTA,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,56,17
# x,y,z,u,w
9.357795535139068477e-01, -3.185935565241558576e-02, -1.007493139955523143e+00, 5.999999999999999778e-01, 1.250000000000000000e+00
9.357795535139069587e-01, -5.778919446389059467e-02, -9.900557518409407454e-01, 5.999999999999999778e-01, 1.500000000000000000e+00
9.357795535139068477e-01, -7.522658257847342211e-02, -9.641259130294654867e-01, 5.999999999999999778e-01, 1.750000000000000000e+00
9.357795535139067367e-01, -8.160858614021251900e-02, -9.322665573770498870e-01, 5.999999999999999778e-01, 2.000000000000000000e+00
9.357795535139068477e-01, -7.522658257847339436e-02, -9.004072017246340653e-01, 5.999999999999999778e-01, 2.250000000000000000e+00
9.357795535139067367e-01, -5.778919446389059467e-02, -8.744773629131592507e-01, 5.999999999999999778e-01, 2.500000000000000000e+00
9.357795535139070697e-01, -3.185935565241559964e-02, -8.570399747985765204e-01, 5.999999999999999778e-01, 2.750000000000000000e+00
9.357795535139067367e-01, 1.043481622747382638e-18, -8.506579712368373958e-01, 5.999999999999999778e-01, 3.000000000000000000e+00
9.357795535139070697e-01, 3.185935565241558576e-02, -8.570399747985767425e-01, 5.999999999999999778e-01, 3.250000000000000000e+00
9.357795535139068477e-01, 5.778919446389058079e-02, -8.744773629131592507e-01, 5.999999999999999778e-01, 3.500000000000000000e+00
9.357795535139068477e-01, 7.522658257847344987e-02, -9.004072017246342874e-01, 5.999999999999999778e-01, 3.750000000000000000e+00
9.357795535139069587e-01, 8.160858614021250512e-02, -9.322665573770498870e-01, 5.999999999999999778e-01, 4.000000000000000000e+00
1.286770144762501067e+00, 1.179366211992534663e-01, -9.196683606557382040e-01, 8.000000000000000444e-01, 0.000000000000000000e+00
1.286770144762501511e+00, 1.086742606258657012e-01, -9.655916671851080268e-01, 8.000000000000000444e-01, 2.500000000000000000e-01
1.286770144762501289e+00, 8.340894123694828077e-02, -1.003077301892686402e+00, 8.000000000000000444e-01, 5.000000000000000000e-01
1.286770144762501289e+00, 4.592330652937011426e-02, -1.028342621281604252e+00, 8.000000000000000444e-01, 7.500000000000000000e-01
1.286770144762501067e+00, 1.665334536937734123e-19, -1.037604981854991726e+00, 8.000000000000000444e-01, 1.000000000000000000e+00
1.286770144762501289e+00, -4.592330652937010732e-02, -1.028342621281603586e+00, 8.000000000000000444e-01, 1.250000000000000000e+00
1.286770144762501289e+00, -8.340894123694830853e-02, -1.003077301892686402e+00, 8.000000000000000444e-01, 1.500000000000000000e+00
1.286770144762501289e+00, -1.086742606258657012e-01, -9.655916671851080268e-01, 8.000000000000000444e-01, 1.750000000000000000e+00
1.286770144762501067e+00, -1.179366211992534663e-01, -9.196683606557382040e-01, 8.000000000000000444e-01, 2.000000000000000000e+00
1.286770144762500845e+00, -1.086742606258656596e-01, -8.737450541263676040e-01, 8.000000000000000444e-01, 2.250000000000000000e+00
1.286770144762501067e+00, -8.340894123694829465e-02, -8.362594194187897845e-01, 8.000000000000000444e-01, 2.500000000000000000e+00
1.286770144762501289e+00, -4.592330652937012814e-02, -8.109941000298725999e-01, 8.000000000000000444e-01, 2.750000000000000000e+00
1.286770144762501067e+00, 3.478272075824606867e-19, -8.017317394564846822e-01, 8.000000000000000444e-01, 3.000000000000000000e+00
1.286770144762501511e+00, 4.592330652937010732e-02, -8.109941000298725999e-01, 8.000000000000000444e-01, 3.250000000000000000e+00
1.286770144762501289e+00, 8.340894123694828077e-02, -8.362594194187898955e-01, 8.000000000000000444e-01, 3.500000000000000000e+00
1.286770144762501289e+00, 1.086742606258657429e-01, -8.737450541263680481e-01, 8.000000000000000444e-01, 3.750000000000000000e+00
1.286770144762501289e+00, 1.179366211992534663e-01, -9.196683606557382040e-01, 8.000000000000000444e-01, 4.000000000000000000e+00
1.625573770491803849e+00, 1.334319987536999041e-01, -9.143852459016396095e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
1.625573770491803627e+00, 1.229393133819233624e-01, -9.663021890073721920e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
1.625573770491803627e+00, 9.433217119948733576e-02, -1.008717417101127056e+00, 1.000000000000000000e+00, 5.000000000000000000e-01
1.625573770491803627e+00, 5.191694310573269355e-02, -1.037324559283563152e+00, 1.000000000000000000e+00, 7.500000000000000000e-01
1.625573770491803627e+00, 0.000000000000000000e+00, -1.047817244655339541e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.625573770491804071e+00, -5.191694310573265886e-02, -1.037324559283562708e+00, 1.000000000000000000e+00, 1.250000000000000000e+00
1.625573770491802961e+00, -9.433217119948733576e-02, -1.008717417101127056e+00, 1.000000000000000000e+00, 1.500000000000000000e+00
1.625573770491802961e+00, -1.229393133819233624e-01, -9.663021890073721920e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
1.625573770491803627e+00, -1.334319987536999041e-01, -9.143852459016396095e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
1.625573770491802961e+00, -1.229393133819233624e-01, -8.624683027959064718e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
